site,dataset,sub,task,run,suffix,shape,pixdim,tr,num_trs,dur,path
CMU,CMU_a,0050642,,,T1w,"[170, 217, 151]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050642/anat/sub-0050642_T1w.nii.gz
CMU,CMU_a,0050642,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050642/func/sub-0050642_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050646,,,T1w,"[173, 228, 200]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050646/anat/sub-0050646_T1w.nii.gz
CMU,CMU_a,0050646,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050646/func/sub-0050646_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050647,,,T1w,"[169, 215, 200]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050647/anat/sub-0050647_T1w.nii.gz
CMU,CMU_a,0050647,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,206.0,412.0,CMU_a/sub-0050647/func/sub-0050647_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050649,,,T1w,"[173, 218, 200]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050649/anat/sub-0050649_T1w.nii.gz
CMU,CMU_a,0050649,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050649/func/sub-0050649_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050653,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050653/anat/sub-0050653_T1w.nii.gz
CMU,CMU_a,0050653,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050653/func/sub-0050653_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050654,,,T1w,"[168, 213, 200]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050654/anat/sub-0050654_T1w.nii.gz
CMU,CMU_a,0050654,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050654/func/sub-0050654_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050656,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050656/anat/sub-0050656_T1w.nii.gz
CMU,CMU_a,0050656,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050656/func/sub-0050656_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050659,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050659/anat/sub-0050659_T1w.nii.gz
CMU,CMU_a,0050659,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050659/func/sub-0050659_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050660,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050660/anat/sub-0050660_T1w.nii.gz
CMU,CMU_a,0050660,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050660/func/sub-0050660_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050663,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050663/anat/sub-0050663_T1w.nii.gz
CMU,CMU_a,0050663,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050663/func/sub-0050663_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050664,,,T1w,"[168, 218, 200]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050664/anat/sub-0050664_T1w.nii.gz
CMU,CMU_a,0050664,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050664/func/sub-0050664_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050665,,,T1w,"[171, 209, 200]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050665/anat/sub-0050665_T1w.nii.gz
CMU,CMU_a,0050665,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050665/func/sub-0050665_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050666,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050666/anat/sub-0050666_T1w.nii.gz
CMU,CMU_a,0050666,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050666/func/sub-0050666_task-rest_run-1_bold.nii.gz
CMU,CMU_a,0050668,,,T1w,"[168, 215, 200]","[1.0, 1.0, 1.0]",,,,CMU_a/sub-0050668/anat/sub-0050668_T1w.nii.gz
CMU,CMU_a,0050668,rest,1,bold,"[64, 64, 28]","[3.0, 3.0, 4.5]",2.0,240.0,480.0,CMU_a/sub-0050668/func/sub-0050668_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050643,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050643/anat/sub-0050643_T1w.nii.gz
CMU,CMU_b,0050643,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050643/func/sub-0050643_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050644,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050644/anat/sub-0050644_T1w.nii.gz
CMU,CMU_b,0050644,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050644/func/sub-0050644_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050645,,,T1w,"[171, 218, 147]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050645/anat/sub-0050645_T1w.nii.gz
CMU,CMU_b,0050645,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050645/func/sub-0050645_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050648,,,T1w,"[161, 200, 200]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050648/anat/sub-0050648_T1w.nii.gz
